BDU:2024-09589	Уязвимость удаленного выполнения кода службы телефонии Windows
BDU:2023-00675	Уязвимость использования памяти после освобождения в OpenSSL 3.0.0 до 3.0.8, и 1.1.1 до 1.1.1t может привести к падению приложения.
BDU:2024-06988	Уязвимость в OpenSSL в API функции SSL_select_next_proto.
BDU:2023-03652	Уязвимость в OpenSSL 3.1.1 до 3.1.1, 3.0.0 до 3.0.9, и 1.1.1 до 1.1.1u.
BDU:2023-04977	Уязвимость в Python по 3.11.4 позволяет удалённым злоумышленникам вызвать "RecursionError: maximum recursion depth exceeded while calling Python object" через специально сформированный аргумент.
BDU:2022-01315	Уязвимость в BN_mod_sqrt() функции OpenSSL 3.0.0, 3.0.1, и 1.1.1 до 1.1.1m может привести к бесконечному циклу.
BDU:2023-05002	Уязвимость в Python до 3.8.18, 3.9.x до 3.9.18, 3.10.x до 3.10.13, и 3.11.x до 3.11.5 при использовании TLS аутентификации клиента.
BDU:2022-01339	С тем, как функция WinVerifyTrust обрабатывает проверку подписи Authenticode в Windows для переносимых исполняемых (PE) файлов, связано существование уязвимости, делающей возможным удаленное выполнение кода. Анонимный злоумышленник может воспользоваться этой уязвимостью, изменив существующий подписанный переносимый исполняемый (PE) файл для обработки непроверенных частей файла. В результате в файл может быть добавлен вредоносный код без нарушения подлинности подписи. Воспользовавшись этой уязвимостью, злоумышленник может установить полный контроль над системой. После этого злоумышленник сможет устанавливать программы, просматривать, изменять и уничтожать данные или создавать новые учетные записи с неограниченными правами.
BDU:2023-07691	Уязвимость в OpenSSL 3.0.0 до 3.0.12, и 3.1.0 до 3.1.4.
BDU:2024-08943	Существует СРЕДНЯЯ степень серьезности уязвимости, влияющая на CPython. Регулярные выражения, которые допускают чрезмерный возврат во время разбора заголовка tarfile.TarFile, уязвимы к ReDoS через специально созданные архивы tar.
BDU:2021-04571	Уязвимость в OpenSSL 1.1.1 до 1.1.1k, и 1.0.2 до 1.0.2y может вызвать атаку "Отказ в обслуживании", а также привести к раскрытию содержимого памяти.
BDU:2024-09604	Уязвимость повышения привилегий в системном драйвере Windows USB Video Class
BDU:2024-09597	Уязвимость повышения привилегий в системном драйвере Windows USB Video Class
BDU:2024-09692	Уязвимость повышения привилегий в системном драйвере Windows USB Video Class
BDU:2024-09487	Уязвимость спуфинга раскрытия хэша NTLM
BDU:2024-09607	Уязвимость повышения привилегий общего виртуального диска Windows Hyper-V
BDU:2024-08755	Использование низкоуровневых API для эллиптических кривых GF(2^m) с недоверенными явными значениями полинома поля может привести к чтению или записи в память за пределами границ.
BDU:2024-02120	Была обнаружена проблема в классе CPython `tempfile.TemporaryDirectory`, влияющая на версии 3.12.1, 3.11.7, 3.10.13, 3.9.18 и 3.8.18 и более ранние. Класс tempfile.TemporaryDirectory разыменовывал символические ссылки во время очистки ошибок, связанных с разрешениями. Это означает, что пользователи, которые могут запускать привилегированные программы, потенциально могут изменять разрешения файлов, на которые ссылаются символические ссылки, в некоторых обстоятельствах.
BDU:2023-00665	Существует уязвимость путаницы типов, связанная с обработкой адресов X.400 внутри X.509 GeneralName. Адреса X.400 анализировались как ASN1_STRING, но определение публичной структуры для GENERAL_NAME неверно указывало тип поля x400Address как ASN1_TYPE. Это поле впоследствии интерпретируется функцией OpenSSL GENERAL_NAME_cmp как ASN1_TYPE, а не как ASN1_STRING.
BDU:2023-03855	Уязвимость в Python 3.11, 3.10, 3.9, 3.8, и 3.7 (CVE-2022-45061)
BDU:2024-01976	libexpat до версии 2.6.1 допускает атаку XML Entity Expansion при изолированном использовании внешних парсеров (созданных с помощью XML_ExternalEntityParserCreate).
BDU:2022-06576	Python 3.9.x до 3.9.16 и 3.10.x до 3.10.9 в Linux допускает локальное повышение привилегий в конфигурации, отличной от конфигурации по умолчанию. Библиотека многопроцессорной обработки Python при использовании с методом запуска forkserver в Linux позволяет десериализовать pickles от любого пользователя в локальном сетевом пространстве имен того же компьютера, что во многих системных конфигурациях означает любого пользователя на том же компьютере. Pickles могут выполнять произвольный код. Таким образом, это допускает локальное повышение привилегий пользователя до пользователя, от имени которого запущен любой процесс forkserver. Установка multiprocessing.util.abstract_sockets_supported в значение False является обходным путем. Метод запуска forkserver для многопроцессорной обработки не является методом запуска по умолчанию. Эта проблема характерна для Linux, поскольку только Linux поддерживает сокеты абстрактного пространства имен. CPython до версии 3.9 по умолчанию не использует сокеты абстрактного пространства имен Linux. Поддержка ручного указания пользователями сокета абстрактного пространства имен была добавлена ​​в качестве исправления ошибки в версиях 3.7.8 и 3.8.3, но для этого в CPython до версии 3.9 пользователям необходимо было выполнять особые необычные вызовы API.
BDU:2024-08943	Уязвимость в CPython (aka Python) до 3.13.0-rc1 (CVE-2024-6232)
BDU:2024-08618	Существует уязвимость LOW-критичности, затрагивающая CPython, в частности, модуль стандартной библиотеки 'http.cookies'. При разборе файлов cookie, содержащих обратные косые черты для символов в кавычках в значении файла cookie, анализатор будет использовать алгоритм с квадратичной сложностью, что приведет к использованию избыточных ресурсов ЦП при разборе значения.
BDU:2024-01514	libexpat до версии 2.5.0 допускает отказ в обслуживании (потребление ресурсов), поскольку в случае большого токена, для которого требуется несколько заполнений буфера, требуется много полных повторных анализов.
BDU:2024-09598	Уязвимость повышения привилегий в системном драйвере Windows USB Video Class
